17	3	10	4
17	1	9	5
8	10	5	7
18	2	12	4
15	5	11	5
10	6	10	4
14	0	11	3
15	1	11	3
13	3	10	4
11	3	13	3
10	8	9	7
12	4	9	5
10	6	7	7
9	9	7	7
16	2	15	1
20	0	0	16
18	2	13	3
17	3	13	1
7	7	7	7
10	4	11	3
10	6	10	6
16	2	15	1
9	5	11	5
11	3	9	7
10	2	11	5
12	4	12	4
13	3	11	5
14	4	9	7
10	8	9	7
10	6	9	7
11	5	11	5
11	5	8	8
12	4	16	0
13	7	4	6
15	3	12	2
13	1	9	5
10	6	9	7
11	3	8	8
11	5	11	5
12	4	10	6
9	7	11	5
18	0	8	8
20	0	0	16
3	17	8	8
15	3	11	5
16	4	15	1
15	1	9	7
12	4	9	7
18	2	0	8
14	2	3	9
12	2	13	3
12	6	11	5
9	7	10	4
7	7	6	8
10	2	12	4
13	1	15	1
8	10	6	4
20	0	0	14
11	9	8	8
